Country,Cases,Death,Continent
Liechtenstein,989,7,Europe
Venezuela,"97,739",855,South America
Sao Tome & Principe,965,16,Africa
Sint Maarten,939,24,North America
Peru,"938,268","35,271",South America
Gibraltar,907,1,Europe
Jamaica,"9,929",231,North America
Cabo Verde,"9,840",103,Africa
Haiti,"9,188",232,North America
Botswana,"9,103",30,Africa
Gabon,"9,084",58,Africa
MS Zaandam,9,2,
Moldova,"89,843","2,035",Europe
Serbia,"87,381","1,030",Europe
Slovakia,"87,276",526,Europe
China,"86,361","4,634",Asia
Georgia,"85,952",778,Asia
Croatia,"85,519","1,082",Europe
Bahrain,"84,882",337,Asia
Germany,"817,526","12,891",Europe
Tunisia,"81,003","2,396",Africa
Zimbabwe,"8,897",257,Africa
India,"8,874,290","130,559",Asia
Malta,"8,137",98,Europe
Guadeloupe,"8,098",139,North America
Estonia,"8,033",83,Europe
St. Vincent & Grenadines,78,0,North America
Iran,"775,121","41,979",Asia
Azerbaijan,"77,083",985,Asia
Greece,"76,403","1,165",Europe
South Africa,"752,269","20,314",Africa
Libya,"74,324","1,025",Africa
Poland,"733,788","10,491",Europe
Turks and Caicos,720,6,North America
Bosnia and Herzegovina,"72,689","1,973",Europe
Paraguay,"72,099","1,602",South America
British Virgin Islands,71,1,North America
Kenya,"70,804","1,287",Africa
Uzbekistan,"70,444",598,Asia
Myanmar,"70,161","1,599",Asia
Mauritania,"7,979",165,Africa
Cuba,"7,639",131,North America
Cyprus,"7,285",40,Asia
Bahamas,"7,256",163,North America
Réunion,"7,161",31,Africa
Algeria,"68,589","2,168",Africa
Ireland,"68,356","1,984",Europe
Dominica,68,0,North America
Kyrgyzstan,"67,469","1,207",Asia
Saint Martin,655,12,North America
Nigeria,"65,305","1,163",Africa
Burundi,630,1,Africa
State of Palestine,"63,867",572,Asia
Denmark,"63,331",764,Europe
Taiwan,605,7,Asia
Papua New Guinea,602,7,Australia/Oceania
Syria,"6,759",350,Asia
Eswatini,"6,105",119,Africa
Trinidad and Tobago,"6,096",112,North America
Singapore,"58,130",28,Asia
Comoros,579,7,Africa
Ukraine,"557,657","9,856",Europe
Monaco,552,2,Europe
Slovenia,"55,544",831,Europe
Belgium,"537,871","14,616",Europe
Chile,"532,604","14,863",South America
Iraq,"521,542","11,712",Asia
Eritrea,518,0,Africa
Tanzania,509,21,Africa
Ghana,"50,376",323,Africa
Malawi,"5,971",185,Africa
Andorra,"5,914",76,Europe
Brazil,"5,876,740","166,067",South America
Nicaragua,"5,661",158,North America
Djibouti,"5,655",61,Africa
Congo,"5,515",92,Africa
Rwanda,"5,491",45,Africa
Hong Kong,"5,471",108,Asia
Suriname,"5,275",115,South America
Iceland,"5,205",25,Europe
Equatorial Guinea,"5,104",85,Africa
Faeroe Islands,498,0,Europe
Mauritius,491,10,Africa
Malaysia,"48,520",313,Asia
Indonesia,"474,455","15,393",Asia
North Macedonia,"47,636","1,345",Europe
Czech Republic (Czechia),"465,523","6,416",Europe
Macao,46,0,Asia
Netherlands,"452,701","8,530",Europe
Mongolia,435,0,Asia
Bangladesh,"434,472","6,215",Asia
Afghanistan,"43,628","1,638",Asia
Turkey,"417,594","11,601",Asia
Philippines,"410,718","7,862",Asia
Mayotte,"4,943",46,Africa
Central African Republic,"4,900",63,Africa
Guyana,"4,894",139,South America
Belize,"4,883",94,North America
